"iteration","ll_before","ll_after","ll_change","ll_decreased","duration_sec","converged"
1,-812.433030620361,-796.083999293767,16.3490313265933,FALSE,177.343243735,FALSE
2,-796.083999293767,-795.419892799899,0.664106493868189,FALSE,170.063396577,FALSE
3,-795.419892799899,-794.898963248892,0.520929551007384,FALSE,203.258214774,FALSE
4,-794.898963248892,-794.32368130107,0.575281947821622,FALSE,208.25776196,FALSE
5,-794.32368130107,-793.565004229298,0.758677071771899,FALSE,201.350538154,FALSE
6,-793.565004229298,-792.553347323301,1.0116569059976,FALSE,269.518120412,FALSE
7,-792.553347323301,-791.326907116076,1.22644020722464,FALSE,293.954662074,FALSE
8,-791.326907116076,-789.907703796831,1.41920331924507,FALSE,337.641234154,FALSE
9,-789.907703796831,-788.953297604071,0.954406192759961,FALSE,312.321080305,FALSE
10,-788.953297604071,-788.396277896727,0.557019707344239,FALSE,351.6238568,FALSE
11,-788.396277896727,-788.003640681856,0.392637214870206,FALSE,378.554024721,FALSE
12,-788.003640681856,-789.29171923284,-1.2880785509833,TRUE,355.138518905,FALSE
13,-789.29171923284,-787.844149597734,1.44756963510588,FALSE,371.210369237,FALSE
14,-787.844149597734,-788.864013918347,-1.01986432061278,TRUE,360.820575399,FALSE
15,-788.864013918347,-787.441809231741,1.42220468660548,FALSE,407.713600905,FALSE
16,-787.441809231741,-786.77587501691,0.665934214831395,FALSE,313.748003212,FALSE
17,-786.77587501691,-786.537009802067,0.23886521484269,FALSE,349.305599044,FALSE
18,-786.537009802067,-786.267971642624,0.269038159443312,FALSE,310.296514227,FALSE
19,-786.267971642624,-786.093610648816,0.174360993807454,FALSE,365.270832962,FALSE
20,-786.093610648816,-785.951230874868,0.142379773948278,FALSE,407.143404541,FALSE
